customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureYears,IsNewCustomer,PaperlessFlag,AutoPayFlag,HasFiber,HasStreaming,ServicesCount,ContractMonths,AvgMonthlyChargeSoFar,ChargeGrowthProxy,MonthlyToTotalRatio,SeniorDependent,TenureBucketNum,TotalChargesPerContractMonth,SeniorAlone
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,0.08333333333333333,1,1,0,0,0,0,1,29.85,0.0,1.0,0,0,29.85,0
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,2.8333333333333335,0,0,0,0,0,1,12,55.5735294117647,1.3764705882352999,0.03014024874305372,0,3,157.45833333333334,0
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,0.16666666666666666,1,1,0,0,0,1,1,54.075,-0.22500000000000142,0.49791955617198336,0,0,108.15,0
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,3.75,0,0,1,0,0,0,12,40.90555555555556,1.3944444444444386,0.02297976368328127,0,3,153.39583333333334,0
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,0.16666666666666666,1,1,0,1,0,1,1,75.825,-5.125,0.4662050774810419,0,0,151.65,0
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,0.6666666666666666,0,1,0,1,1,1,1,102.5625,-2.9124999999999943,0.1214503351614869,0,1,820.5,0
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,1.8333333333333333,0,1,1,1,1,1,1,88.60909090909091,0.49090909090908497,0.04570637119113573,0,2,1949.4,0
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,0.8333333333333334,0,0,0,0,0,0,1,30.189999999999998,-0.4399999999999977,0.09854256376283538,0,1,301.9,0
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,2.3333333333333335,0,1,0,1,1,1,1,108.78750000000001,-3.9875000000000114,0.034405213309039576,0,3,3046.05,0
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,5.166666666666667,0,0,1,0,0,1,12,56.25725806451613,-0.10725806451613096,0.016098281225361603,0,4,290.66249999999997,0
